SCHOOL NAME,ID,ALT ID,TYPE,GRADE MIN,GRADE MAX,GRADE LEVEL,START TIME,END TIME,ADDRESS NUMBER,STREET,CITY,STATE,ZIP CODE,PHONE,FAX,LATITUDE,LONGITUDE,LOCATION
DYOUVILLE PORTER CAMPUS SCHOOL,PS003,PS3,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,255,PORTER AVE,BUFFALO,NY,14201,7168163120,7168887004,42.9009,-78.8923,"(42.9009, -78.8923)"
BUFFALO ELEMENTARY SCHOOL OF TECHNOLOGY,PS006,PS6,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,414,SOUTH DIVISION ST,BUFFALO,NY,14204,7168263767,7168513770,42.8807,-78.861,"(42.8807, -78.861)"
EARLY CHILDHOOD CENTER,PS017,PS17,ELEMENTARY,PK,4,PK-4,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,1045,W DELEVAN AVE,BUFFALO,NY,14209,7168163150,7168887023,42.9218,-78.8602,"(42.9218, -78.8602)"
DR ANTONIA PANTOJA COMMUNITY SCHOOL OF EXCELLENCE,PS018,PS18,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,750,WEST AVE,BUFFALO,NY,14215,7168163160,7168887036,42.911,-78.8969,"(42.911, -78.8969)"
NATIVE AMERICAN MAGNET SCHOOL,PS019,PS19,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,97,W DELAVAN AVE,BUFFALO,NY,14213,7168163180,7168887042,42.9214,-78.8958,"(42.9214, -78.8958)"
HILLERY PARK ELEMENTARY,PS027,PS27,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,73,PAWNEE PKWY,BUFFALO,NY,14210,7168164770,7168284771,42.8617,-78.8093,"(42.8617, -78.8093)"
FRANK A SEDITA ACADEMY,PS030,PS30,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,21,LOWELL PL,BUFFALO,NY,14213,7168163220,7168882032,42.9094,-78.8861,"(42.9094, -78.8861)"
HARRIET ROSS TUBMAN SCHOOL,PS031,PS31,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,212,STANTON ST,BUFFALO,NY,14212,7168163780,7168513787,42.8891,-78.8466,"(42.8891, -78.8466)"
BENNETT PARK MONTESSORI,PS032,PS32,ELEMENTARY,PK,8,PK-8,03/01/2018 09:00:00 AM,03/01/2018 03:55:00 PM,342,CLINTON ST,BUFFALO,NY,14204,7168164603,7168513895,42.8841,-78.862,"(42.8841, -78.862)"
BILINGUAL CENTER,PS033,PS33,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,157,ELK ST,BUFFALO,NY,14210,7168164783,7168284786,42.8684,-78.8488,"(42.8684, -78.8488)"
MARVA J DANIEL FUTURES PREPARATORY SCHOOL,PS037,PS37,ELEMENTARY,PK,8,PK-8,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,295,CARLTON ST,BUFFALO,NY,14204,7168163800,7165813796,42.898,-78.8582,"(42.898, -78.8582)"
OCCUPATIONAL TRAINING CENTER,PS042,PS42,K-12,K,12,K-12,03/01/2018 08:00:00 AM,03/01/2018 02:55:00 PM,2495,MAIN ST,BUFFALO,NY,14214,7168163250,7168382226,42.9347,-78.8424,"(42.9347, -78.8424)"
