Rank,Airports (large hubs),IATA,Major city served,State,2017[3],2016[4],2015[5],2014[6],2013[7],2012[8],2011[9],2010[10],2009[11],2008[11],2007[12],2006[13],2005[14]
-2017,,Code,,,,,,,,,,,,,,,
1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA,"50,251,962","50,501,858","49,340,732","46,604,273","45,308,407","45,798,809","44,414,121","43,130,585","42,280,868","43,236,665","43,236,665","41,352,038","42,402,653"
2,Los Angeles International Airport,LAX,Los Angeles,CA,"41,232,416","39,636,042","36,351,226","34,314,197","32,425,892","31,326,268","30,528,737","28,857,755","27,439,897","28,861,477","30,113,985","29,357,327","29,372,272"
3,O'Hare International Airport,ORD,Chicago,IL,"38,593,028","37,589,899","36,305,668","33,686,811","32,317,835","32,171,743","31,892,301","32,171,831","31,135,732","33,683,991","36,521,585","36,825,097","36,720,005"
4,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX,"31,861,933","31,283,579","31,589,832","30,766,940","29,038,128","28,022,877","27,518,358","27,100,656","26,663,984","27,219,985","28,482,417","28,627,749","28,079,147"
5,Denver International Airport,DEN,Denver,CO,"29,809,091","28,267,394","26,280,043","26,000,591","25,496,885","25,799,832","25,667,499","25,241,962","24,013,669","24,287,939","20,796,173","20,591,909","20,315,544"
6,John F. Kennedy International Airport,JFK,New York,NY,"29,533,154","29,239,151","27,782,369","26,244,928","25,036,358","24,520,943","23,664,830","22,934,047","22,710,272","23,620,948","23,401,351","21,071,501","20,260,359"
7,San Francisco International Airport,SFO,San Francisco,CA,"26,900,016","25,707,101","24,190,549","22,756,008","21,704,626","21,284,224","20,038,679","19,359,003","18,467,908","18,135,827","17,280,328","16,236,592","16,070,133"
8,McCarran International Airport,LAS,Las Vegas,NV,"23,364,185","22,833,267","21,824,231","20,551,016","19,946,179","19,941,173","19,854,759","18,996,738","19,445,952","21,024,443","22,537,950","22,028,521","21,402,676"
9,Seattle–Tacoma International Airport,SEA,Seattle/Tacoma,WA,"22,639,120","21,887,110","21,231,781","18,781,489","17,450,425","16,625,787","16,425,732","15,406,243","15,273,092","15,839,504","15,419,116","14,703,928","14,359,530"
10,Charlotte Douglas International Airport,CLT,Charlotte,NC,"22,011,225","21,511,880","21,913,166","21,542,277","21,346,601","20,032,426","19,022,535","18,629,181","18,165,476","19,291,428","16,884,780","14,949,568","14,109,608"
11,Newark Liberty International Airport,EWR,Newark/New Jersey,NJ,"21,571,194","19,923,009","18,684,818","17,680,826","17,546,506","17,035,098","16,814,092","16,571,754","16,659,441","17,599,578","18,163,652","17,804,107","16,444,959"
12,Orlando International Airport,MCO,Orlando,FL,"21,565,444","20,283,541","18,759,938","17,278,608","16,884,524","17,159,425","17,250,415","17,017,491","16,371,016","17,288,480","17,614,679","16,807,856","16,592,133"
13,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,"21,185,440","20,896,265","21,351,445","20,344,867","19,525,109","19,556,189","19,750,306","18,907,171","18,559,647","19,450,576","20,767,144","20,479,291","19,032,196"
